"species","size_rls","size_fishflux"
"Abalistes_stellatus",20,20
"Abalistes_stellatus",25,25
"Abudefduf_abdominalis",12,12
"Abudefduf_abdominalis",15,15
"Abudefduf_bengalensis",2,NA
"Abudefduf_bengalensis",5,5
"Abudefduf_bengalensis",8,8
"Abudefduf_bengalensis",10,10
"Abudefduf_bengalensis",12,12
"Abudefduf_bengalensis",15,15
"Abudefduf_bengalensis",20,NA
"Abudefduf_bengalensis",25,NA
"Abudefduf_concolor",12,12
"Abudefduf_concolor",15,15
"Abudefduf_conformis",12,12
"Abudefduf_conformis",15,NA
"Abudefduf_notatus",5,5
"Abudefduf_notatus",10,10
"Abudefduf_notatus",12,12
"Abudefduf_saxatilis",2,NA
"Abudefduf_saxatilis",5,5
"Abudefduf_saxatilis",8,8
"Abudefduf_saxatilis",10,10
"Abudefduf_saxatilis",12,12
"Abudefduf_saxatilis",15,15
"Abudefduf_saxatilis",20,20
"Abudefduf_septemfasciatus",12,12
"Abudefduf_septemfasciatus",15,15
"Abudefduf_sexfasciatus",2,NA
"Abudefduf_sexfasciatus",5,5
"Abudefduf_sexfasciatus",8,8
"Abudefduf_sexfasciatus",10,10
"Abudefduf_sexfasciatus",12,12
"Abudefduf_sexfasciatus",15,15
"Abudefduf_sexfasciatus",20,NA
"Abudefduf_sordidus",12,12
"Abudefduf_troschelii",5,5
"Abudefduf_troschelii",8,8
"Abudefduf_troschelii",10,10
"Abudefduf_troschelii",12,12
"Abudefduf_troschelii",15,15
"Abudefduf_troschelii",20,NA
"Abudefduf_vaigiensis",2,NA
"Abudefduf_vaigiensis",5,5
"Abudefduf_vaigiensis",8,8
"Abudefduf_vaigiensis",10,10
"Abudefduf_vaigiensis",12,12
"Abudefduf_vaigiensis",15,15
"Abudefduf_vaigiensis",20,NA
"Abudefduf_whitleyi",5,5
"Abudefduf_whitleyi",8,8
"Abudefduf_whitleyi",10,10
"Abudefduf_whitleyi",12,12
"Acanthemblemaria_hancocki",2,NA
"Acanthemblemaria_spinosa",2,NA
"Acanthochromis_polyacanthus",2,2
"Acanthochromis_polyacanthus",5,5
"Acanthochromis_polyacanthus",8,8
"Acanthochromis_polyacanthus",10,10
"Acanthochromis_polyacanthus",12,12
"Acanthochromis_polyacanthus",15,NA
"Acanthopagrus_australis",12,12
"Acanthopagrus_latus",30,NA
"Acanthopagrus_latus",35,NA
"Acanthostracion_polygonius",10,NA
"Acanthostracion_polygonius",12,NA
"Acanthostracion_polygonius",15,NA
"Acanthostracion_polygonius",20,NA
"Acanthostracion_polygonius",25,NA
"Acanthostracion_quadricornis",20,20
"Acanthuridae_spp.",2,NA
"Acanthuridae_spp.",5,NA
"Acanthuridae_spp.",8,NA
"Acanthuridae_spp.",10,NA
"Acanthuridae_spp.",12,NA
"Acanthuridae_spp.",15,NA
"Acanthuridae_spp.",20,NA
"Acanthuridae_spp.",25,NA
"Acanthuridae_spp.",30,NA
"Acanthuridae_spp.",35,NA
"Acanthurus_achilles",12,12
"Acanthurus_achilles",15,15
"Acanthurus_achilles",20,20
"Acanthurus_achilles",25,NA
"Acanthurus_albipectoralis",15,15
"Acanthurus_albipectoralis",20,20
"Acanthurus_albipectoralis",25,25
"Acanthurus_albipectoralis",30,30
"Acanthurus_albipectoralis",35,NA
"Acanthurus_auranticavus",25,25
"Acanthurus_auranticavus",30,30
"Acanthurus_auranticavus",35,35
"Acanthurus_auranticavus",40,40
"Acanthurus_bahianus",2,NA
"Acanthurus_bahianus",5,5
"Acanthurus_bahianus",8,8
"Acanthurus_bahianus",10,10
"Acanthurus_bahianus",12,12
"Acanthurus_bahianus",15,15
"Acanthurus_bahianus",20,20
"Acanthurus_bahianus",25,25
"Acanthurus_bahianus",30,30
"Acanthurus_bariene",25,25
"Acanthurus_blochii",2,NA
"Acanthurus_blochii",5,5
"Acanthurus_blochii",8,8
"Acanthurus_blochii",10,10
"Acanthurus_blochii",12,12
"Acanthurus_blochii",15,15
"Acanthurus_blochii",20,20
"Acanthurus_blochii",25,25
"Acanthurus_blochii",30,30
"Acanthurus_blochii",35,35
"Acanthurus_blochii",40,40
"Acanthurus_chirurgus",8,8
"Acanthurus_chirurgus",10,10
"Acanthurus_chirurgus",12,12
"Acanthurus_chirurgus",15,15
"Acanthurus_chirurgus",20,20
"Acanthurus_chirurgus",25,25
"Acanthurus_chirurgus",30,30
"Acanthurus_coeruleus",2,NA
"Acanthurus_coeruleus",5,5
"Acanthurus_coeruleus",8,8
"Acanthurus_coeruleus",10,10
"Acanthurus_coeruleus",12,12
"Acanthurus_coeruleus",15,15
"Acanthurus_coeruleus",20,20
"Acanthurus_coeruleus",25,25
"Acanthurus_coeruleus",30,30
"Acanthurus_coeruleus",40,NA
"Acanthurus_dussumieri",8,8
"Acanthurus_dussumieri",12,12
"Acanthurus_dussumieri",15,15
"Acanthurus_dussumieri",20,20
"Acanthurus_dussumieri",25,25
"Acanthurus_dussumieri",30,30
"Acanthurus_dussumieri",35,35
"Acanthurus_dussumieri",40,40
"Acanthurus_fowleri",25,25
"Acanthurus_fowleri",30,30
"Acanthurus_fowleri",35,35
"Acanthurus_grammoptilus",5,5
"Acanthurus_grammoptilus",8,8
"Acanthurus_grammoptilus",10,10
"Acanthurus_grammoptilus",12,12
"Acanthurus_grammoptilus",15,15
"Acanthurus_grammoptilus",20,20
"Acanthurus_grammoptilus",25,25
"Acanthurus_grammoptilus",30,30
"Acanthurus_grammoptilus",35,NA
"Acanthurus_grammoptilus",40,NA
"Acanthurus_grammoptilus_(cf)",20,NA
"Acanthurus_guttatus",12,12
"Acanthurus_guttatus",15,15
"Acanthurus_guttatus",20,20
"Acanthurus_guttatus",25,25
"Acanthurus_leucocheilus",12,12
"Acanthurus_leucocheilus",15,15
"Acanthurus_leucocheilus",20,20
"Acanthurus_leucocheilus",25,25
"Acanthurus_leucocheilus",30,30
"Acanthurus_leucopareius",20,20
"Acanthurus_leucopareius",25,NA
"Acanthurus_leucopareius",35,NA
"Acanthurus_leucopareius",40,NA
"Acanthurus_leucosternon",5,5
"Acanthurus_leucosternon",8,8
"Acanthurus_leucosternon",10,10
"Acanthurus_leucosternon",12,12
"Acanthurus_leucosternon",15,15
"Acanthurus_leucosternon",20,20
"Acanthurus_leucosternon",25,NA
"Acanthurus_lineatus",8,8
"Acanthurus_lineatus",10,10
"Acanthurus_lineatus",12,12
"Acanthurus_lineatus",15,15
"Acanthurus_lineatus",20,20
"Acanthurus_lineatus",25,25
"Acanthurus_lineatus",30,30
"Acanthurus_maculiceps",15,15
"Acanthurus_maculiceps",20,20
"Acanthurus_maculiceps",25,25
"Acanthurus_maculiceps",30,30
"Acanthurus_mata",15,15
"Acanthurus_mata",20,20
"Acanthurus_mata",25,25
"Acanthurus_mata",30,30
"Acanthurus_mata",35,35
"Acanthurus_mata",40,40
"Acanthurus_mata",50,NA
"Acanthurus_nigricans",5,5
"Acanthurus_nigricans",8,8
"Acanthurus_nigricans",10,10
"Acanthurus_nigricans",12,12
"Acanthurus_nigricans",15,15
"Acanthurus_nigricans",20,20
"Acanthurus_nigricans",25,NA
"Acanthurus_nigricans",30,NA
"Acanthurus_nigricauda",5,5
"Acanthurus_nigricauda",8,8
"Acanthurus_nigricauda",10,10
