"dep","var","Estimate","Est.Error","Q2.5","Q97.5"
"bAut","Algae",-0.20545723146774,0.230163255889273,-0.663111125,0.23459965
"bAut","Turf",0.12596088445515,0.107028156232704,-0.0824369725,0.336252225
"bAut","Grav.",0.005840996956554,0.0312254937302661,-0.0568214925,0.066350025
"bAut","S",-0.04903619793939,0.0377819384670727,-0.123096275,0.0257540225
"bAut","C",-0.1115047044224,0.0350970545108451,-0.182178775,-0.044040965
"bAut","N",-0.002241722592251,0.0447760883671638,-0.0924031175,0.085780575
"bAut","Qn",-0.053097617135602,0.0421140318369969,-0.1359051,0.02805403
"det","Algae",0.03471825681312,0.202978210987825,-0.374166475,0.418915825
"det","Turf",0.15429148353768,0.101818050391413,-0.0380549925,0.3529462
"det","Grav.",-0.020528631753314,0.0302414857736724,-0.08067766,0.0367485925
"det","NPP",-0.13857263236,0.0333881712445621,-0.20459545,-0.0722968625
"det","S",-0.051204605229977,0.0361482311038187,-0.1272288,0.0173009475
"det","C",-0.125201863931,0.0325830821961845,-0.188291475,-0.0628242325
"det","N",0.11345057400776,0.0424621128224845,0.0309969225,0.1985321
"det","Qn",-0.11784720716,0.0414553698569453,-0.20051435,-0.0367179025000001
"fish","Coral",0.30506838291061,0.189902357738978,-0.07126629,0.679177875
"fish","Grav.",-0.1960779093,0.0438536248199178,-0.283664025,-0.10992555
"fish","S",0.024017370371765,0.0523307593623067,-0.07992651,0.12532905
"fish","C",-0.06286376264107,0.0471385292058147,-0.15647325,0.028346635
"fish","N",-0.0142535987353,0.0574136740225723,-0.124198675,0.100915325
"fish","Qn",0.018129960815483,0.0576256562490323,-0.0974231725,0.132923175
"mInv","Coral",0.304967691736467,0.120613278263822,0.0641654625,0.53966375
"mInv","Algae",0.2598681803572,0.187493795763472,-0.105460225,0.616749625
"mInv","Turf",0.15971733005993,0.0888954895504802,-0.0108089625,0.338456975
"mInv","Grav.",0.076146070116,0.0231010824254221,0.03125032,0.120409425
"mInv","S",0.1022785582942,0.0304717638751597,0.0423503125,0.161680425
"mInv","C",0.1841341662,0.0276189883087918,0.1306418,0.23847755
"mInv","N",-0.020644833378947,0.0319787051600112,-0.0817028725,0.04094849
"mInv","Qn",0.09186265975756,0.0325926015248451,0.0282481775,0.15537215
"sInv","Coral",-0.07715317021263,0.116518986866196,-0.3049904,0.14712545
"sInv","Algae",-0.64163828904,0.183044113679392,-1.00923225,-0.28285095
"sInv","Turf",0.047489977094509,0.0838858829274912,-0.114848875,0.209846
"sInv","Grav.",0.03996546325031,0.0215020619973712,-0.0017778465,0.082714035
"sInv","S",-0.033630095349156,0.0274109802223823,-0.08754507,0.0196335925
"sInv","C",0.014005183900111,0.0255925000276791,-0.0356888125,0.0638771025
"sInv","N",0.06657506949045,0.0277334025108104,0.0126161425,0.12070195
"sInv","Qn",-0.0105033594221995,0.0307079828820003,-0.0701683925,0.047213745
