"site","bAut","det","fish","mInv","sInv","zooP","sum_tot","bAut_prop","det_prop","fish_prop","mInv_prop","sInv_prop","zooP_prop"
"ACEH1",7.03,2.09,8.24,32.24,4.86,6.97,61.43,0.114439199088393,0.0340224645938467,0.134136415432199,0.524825004069673,0.0791144391990884,0.1134624776168
"ACEH11",28.27,8.47,18.12,73.48,14.87,10.57,153.78,0.183834048640916,0.0550786838340486,0.11783066718689,0.477825464949929,0.0966965795291976,0.0687345558590194
"ACEH12",73.37,20.01,11.76,37.33,19.72,15.2,177.39,0.413608433395344,0.112802300016912,0.0662946051073905,0.210440272845143,0.111167484074638,0.0856869045605727
"ACEH15",46.83,10.02,10.68,53.36,14.6,15.97,151.46,0.30919054535851,0.0661560808134161,0.0705136669747788,0.352304238742902,0.0963950878119635,0.105440380298429
"ACEH16",36.27,11.23,7.48,47.04,15.68,12.17,129.87,0.279279279279279,0.0864710864710865,0.0575960575960576,0.362208362208362,0.120736120736121,0.0937090937090937
"ACEH17",43.22,13.54,15.08,89.15,20.11,19.49,200.59,0.215464380078768,0.0675008724263423,0.0751782242384964,0.444438905229573,0.10025424996261,0.0971633680642106
"ACEH18",41.79,11.67,8,63.18,15.75,11.4,151.79,0.275314579353054,0.0768825350813624,0.0527043942288688,0.416232953422492,0.103761776138086,0.0751037617761381
"ACEH19",22.11,5.86,1.05,13.58,6.52,4.5,53.62,0.412346139500187,0.10928757926147,0.0195822454308094,0.253263707571802,0.12159641924655,0.0839239089891831
"ACEH2",22.78,7.84,3.39,19.95,9.08,5.38,68.42,0.332943583747442,0.114586378251973,0.0495469161064016,0.291581408944753,0.132709733995908,0.0786319789535224
"ACEH20",47.86,17.75,9.95,83.54,22.36,19.29,200.75,0.23840597758406,0.0884184308841843,0.0495641344956413,0.416139476961395,0.111382316313823,0.0960896637608966
"ACEH21",61.44,15.36,65.03,106.54,27.88,19.95,296.2,0.207427413909521,0.0518568534773802,0.219547602970966,0.359689399054693,0.0941255908170155,0.0673531397704254
"ACEH22",175.38,28.59,30.18,210.9,72.05,56.77,573.87,0.305609284332689,0.0498196455643264,0.0525903079094568,0.367504835589942,0.125551082997891,0.0989248436056947
"ACEH3",27.41,9.46,9.67,43.7,17.61,11.32,119.17,0.230007552236301,0.0793823948980448,0.0811445833682974,0.366703029285894,0.147772090291181,0.0949903499202819
"ACEH4",22.18,7.35,7.34,35.94,10.62,8.5,91.93,0.241270531926466,0.0799521374959208,0.079843359077559,0.390949635592299,0.115522680300228,0.0924616556075275
"ACEH7",34.92,9.68,7.54,34.12,14.34,12.3,112.9,0.309300265721878,0.0857395925597874,0.066784765279008,0.302214348981399,0.127015057573074,0.108945969884854
"ACEH8",62.05,18.38,12.07,68.26,25.95,17.92,204.63,0.303230220397791,0.0898206519083223,0.0589845086253238,0.333577676782486,0.126814250109955,0.0875726921761228
"AH1",18.43,4.55,10.36,64.39,11.19,11.63,120.55,0.152882621318955,0.0377436748237246,0.0859394442140191,0.534135213604314,0.0928245541269183,0.0964744919120697
"AH2",77.75,12.29,6.65,63.94,18.85,17.65,197.13,0.394409780347994,0.062344645665297,0.0337340841069345,0.324354486886826,0.0956221782580023,0.0895348247349465
"AH3",43.43,11.03,13.39,55.96,15.2,15.14,154.15,0.281738566331495,0.0715536814790788,0.086863444696724,0.363023029516705,0.0986052546221213,0.0982160233538761
"AH4",12.68,4.52,2.01,23.02,8.81,6.1,57.14,0.221911095554778,0.0791039551977599,0.0351767588379419,0.402870143507175,0.154182709135457,0.106755337766888
"AH5",24.18,6.09,3.27,26.56,10.42,8.43,78.95,0.306269791006966,0.0771374287523749,0.041418619379354,0.336415452818239,0.131982267257758,0.106776440785307
"AL10",59.94,17.5,16.21,97.79,35.61,32.12,259.17,0.231276768144461,0.0675232472894239,0.062545819346375,0.377319905853301,0.137400162055793,0.123934097310646
"AL4",30.19,4.09,12.35,34.12,8.9,9.13,98.78,0.305628669771209,0.0414051427414456,0.125025308766957,0.345414051427414,0.0900992103664709,0.0924276169265034
"AL6",72.75,16.07,4.03,28.39,8.61,10.75,140.6,0.517425320056899,0.114295874822191,0.0286628733997155,0.201920341394026,0.0612375533428165,0.0764580369843528
"AL7",55,14.41,15.69,39.61,23.32,12.5,160.53,0.342615087522581,0.0897651529309163,0.097738740422351,0.246745156668535,0.145268797109575,0.0778670653460412
"BA10",61.29,15.61,11.38,121.79,40.35,24.9,275.32,0.222613685892779,0.0566976609036757,0.0413337207612959,0.442357983437455,0.146556733982275,0.0904402150225192
"BA11",10.44,2.96,0.79,22.53,4.07,4.97,45.76,0.228146853146853,0.0646853146853147,0.017263986013986,0.492351398601399,0.0889423076923077,0.10861013986014
"BA2",130.04,28.16,27.84,121.21,34.75,38,380,0.342210526315789,0.0741052631578947,0.0732631578947368,0.318973684210526,0.0914473684210526,0.1
"BA3",95.5,22.19,50.1,266.53,68.31,65.49,568.12,0.168098289093853,0.0390586495810744,0.0881855945926917,0.469143842850102,0.120238681968598,0.11527494191368
"BA4",13.34,2.85,1.68,14.25,7.99,4.05,44.16,0.302083333333333,0.0645380434782609,0.0380434782608696,0.322690217391304,0.180932971014493,0.0917119565217391
"BA5",62.98,19.52,9.72,82.84,41.92,23.45,240.43,0.261947344341388,0.0811878717298174,0.0404275672752984,0.344549349082893,0.174354281911575,0.0975335856590276
"BA6",42.63,10.48,5.63,45.47,21.86,13.12,139.19,0.306272002299016,0.0752927652848624,0.0404483080681083,0.32667576693728,0.157051512321287,0.0942596450894461
"BA7",44.46,7.56,14.04,58.1,15.75,14.7,154.61,0.28756225341181,0.0488972252765022,0.0908091326563611,0.375784231291637,0.101869219326046,0.0950779380376431
"BA8",15.76,4.96,3.33,30.65,11.4,6.99,73.09,0.215624572444931,0.0678615405664249,0.0455602681625393,0.419346011766315,0.15597208920509,0.0956355178546997
"BOCAS1",7.92,0.05,0.5,4.31,2.09,1.44,16.31,0.485591661557327,0.00306560392397302,0.0306560392397302,0.264255058246475,0.128142244022072,0.0882893930104231
"BOCAS10",16.63,0.18,0.95,6.69,4.12,2.94,31.51,0.527768962234211,0.00571247223103777,0.0301491589971438,0.21231355125357,0.130752142177087,0.0933037131069502
"BOCAS11",18.16,2.74,2.03,38.94,12.7,4.29,78.86,0.230281511539437,0.0347451179305098,0.0257418209485164,0.493786457012427,0.16104488967791,0.0544002028911996
"BOCAS12",15.33,0.18,0.93,10.23,3.39,2.3,32.36,0.473733003708282,0.00556242274412855,0.0287391841779975,0.316131025957973,0.104758961681088,0.0710754017305315
"BOCAS13",14.66,0.07,0.31,1.79,0.79,0.69,18.31,0.800655379574003,0.00382304751501912,0.0169306389950847,0.0977607864554888,0.0431458219552157,0.0376843255051884
"BOCAS2",17.29,0.05,0.56,3.38,0.7,0.24,22.22,0.778127812781278,0.00225022502250225,0.0252025202520252,0.152115211521152,0.0315031503150315,0.0108010801080108
"BOCAS3",42.41,0.16,1.26,6.4,0.8,0.39,51.42,0.824776351614158,0.00311162971606379,0.0245040840140023,0.124465188642552,0.0155581485803189,0.00758459743290549
"BOCAS4",17.97,0.04,0.67,1.56,0.22,0.26,20.72,0.867277992277992,0.00193050193050193,0.0323359073359073,0.0752895752895753,0.0106177606177606,0.0125482625482625
"BOCAS5",12.73,0.34,1.73,10.88,5.02,8.48,39.18,0.324910668708525,0.00867789688616641,0.0441551812149056,0.277692700357325,0.128126595201633,0.216436957631445
