"SiteCode","SurveyID","dup"
"ACEH1",62003087,FALSE
"ACEH11",62003097,FALSE
"ACEH12",62003098,FALSE
"ACEH15",62003101,FALSE
"ACEH16",62003102,FALSE
"ACEH17",62003103,FALSE
"ACEH18",62003104,FALSE
"ACEH19",62003105,FALSE
"ACEH2",62003088,FALSE
"ACEH20",62003106,FALSE
"ACEH21",62003107,FALSE
"ACEH22",62003108,FALSE
"ACEH3",62003089,FALSE
"ACEH4",62003090,FALSE
"ACEH7",62003094,FALSE
"ACEH8",62003095,FALSE
"AH1",912345962,FALSE
"AH2",912345963,FALSE
"AH3",912345964,FALSE
"AH4",912345965,FALSE
"AH5",912345966,FALSE
"AL10",912344540,FALSE
"AL4",912344532,FALSE
"AL6",912344536,FALSE
"AL7",912344538,FALSE
"BA10",912345981,FALSE
"BA11",912345982,FALSE
"BA2",912345977,FALSE
"BA3",912345978,FALSE
"BA4",912346035,FALSE
"BA5",912346037,FALSE
"BA6",912346039,FALSE
"BA7",912346041,FALSE
"BA8",912345979,FALSE
"BOCAS1",912344726,FALSE
"BOCAS10",912344735,FALSE
"BOCAS11",912344736,FALSE
"BOCAS12",912344744,FALSE
"BOCAS13",912344737,FALSE
"BOCAS2",912344727,FALSE
"BOCAS3",912344729,FALSE
"BOCAS4",912344739,FALSE
"BOCAS5",912344730,FALSE
"BOCAS6",912344740,FALSE
"BOCAS7",912344732,FALSE
"BOCAS8",912344733,FALSE
"BOCAS9",912344743,FALSE
"BRA1",912341789,FALSE
"BRA10",912341791,FALSE
"BRA2",912341793,FALSE
"BRA3",912341795,FALSE
"BRA4",912341797,FALSE
"BRA5",912341799,FALSE
"BRA6",912341801,FALSE
"BRA7",912341803,FALSE
"BRA8",912341807,FALSE
"BRA9",912341809,FALSE
"BZE1",912346723,FALSE
"BZE2",912346738,FALSE
"BZE3",912346739,FALSE
"BZE4",912346741,FALSE
"BZE6",912346745,FALSE
"CAR10",1003651,FALSE
"CAR12",1003659,FALSE
"CAR13",1003664,FALSE
"CAR15",1003666,FALSE
"CAR16",1003672,FALSE
"CAR17",1003670,FALSE
"CAR18",1003678,FALSE
"CAR19",1003684,FALSE
"CAR20",1003683,FALSE
